LexToken(IMPORT,'import',2,4)
LexToken(STRING,'dart:math',2,11)
LexToken(SEMICOLON,';',2,22)
LexToken(COMMENT_BLOCK,'/* Este programa almacena temperaturas \n        las filtra segun un umbal y muestra resultados.*/',3,28)
LexToken(VOID,'void',5,138)
LexToken(ID,'main',5,143)
LexToken(LPARENTHESIS,'(',5,147)
LexToken(RPARENTHESIS,')',5,148)
LexToken(LBRACE,'{',5,150)
LexToken(FINAL,'final',6,160)
LexToken(DOUBLE_TYPE,'double',6,166)
LexToken(ID,'threshold',6,173)
LexToken(ASSIGN_OPERATOR,'=',6,183)
LexToken(DOUBLE,30.5,6,185)
LexToken(SEMICOLON,';',6,189)
LexToken(VAR,'var',7,199)
LexToken(ID,'temperatures',7,203)
LexToken(LESS_THAN,'<',7,216)
LexToken(DOUBLE_TYPE,'double',7,217)
LexToken(GREATER_THAN,'>',7,223)
LexToken(ASSIGN_OPERATOR,'=',7,225)
LexToken(LBRACKET,'[',7,227)
LexToken(DOUBLE,28.0,7,228)
LexToken(COMMA,',',7,232)
LexToken(DOUBLE,31.2,7,234)
LexToken(COMMA,',',7,238)
LexToken(DOUBLE,29.5,7,240)
LexToken(COMMA,',',7,244)
LexToken(DOUBLE,32.1,7,246)
LexToken(COMMA,',',7,250)
LexToken(DOUBLE,27.0,7,252)
LexToken(RBRACKET,']',7,256)
LexToken(SEMICOLON,';',7,257)
LexToken(LIST_TYPE,'List',8,267)
LexToken(LESS_THAN,'<',8,271)
LexToken(DOUBLE_TYPE,'double',8,272)
LexToken(GREATER_THAN,'>',8,278)
LexToken(ID,'highTemps',8,280)
LexToken(ASSIGN_OPERATOR,'=',8,290)
LexToken(LBRACKET,'[',8,292)
LexToken(RBRACKET,']',8,293)
LexToken(SEMICOLON,';',8,294)
LexToken(FOR,'for',10,305)
LexToken(LPARENTHESIS,'(',10,308)
LexToken(DOUBLE_TYPE,'double',10,309)
LexToken(ID,'temp',10,316)
