LexToken(TYPEDEF,'typedef',47,0)
LexToken(ID,'Operacion',47,8)
LexToken(ASSIGN_OPERATOR,'=',47,18)
LexToken(INT_TYPE,'int',47,20)
LexToken(ID,'Function',47,24)
LexToken(LPARENTHESIS,'(',47,32)
LexToken(INT_TYPE,'int',47,33)
LexToken(COMMA,',',47,36)
LexToken(INT_TYPE,'int',47,38)
LexToken(RPARENTHESIS,')',47,41)
LexToken(SEMICOLON,';',47,42)
LexToken(ENUM,'enum',49,45)
LexToken(ID,'Estado',49,50)
LexToken(LBRACE,'{',49,57)
LexToken(ID,'activo',49,59)
LexToken(COMMA,',',49,65)
LexToken(ID,'inactivo',49,67)
LexToken(RBRACE,'}',49,76)
LexToken(VOID,'void',51,79)
LexToken(ID,'main',51,84)
LexToken(LPARENTHESIS,'(',51,88)
LexToken(RPARENTHESIS,')',51,89)
LexToken(LBRACE,'{',51,91)
LexToken(CONST,'const',52,97)
LexToken(ID,'limite',52,103)
LexToken(ASSIGN_OPERATOR,'=',52,110)
LexToken(INT,3,52,112)
LexToken(SEMICOLON,';',52,113)
LexToken(VAR,'var',53,119)
LexToken(ID,'contador',53,123)
LexToken(ASSIGN_OPERATOR,'=',53,132)
LexToken(INT,0,53,134)
LexToken(SEMICOLON,';',53,135)
LexToken(FINAL,'final',54,141)
LexToken(STRING_TYPE,'String',54,147)
LexToken(ID,'nombre',54,154)
LexToken(ASSIGN_OPERATOR,'=',54,161)
LexToken(STRING,'Carlos',54,163)
LexToken(SEMICOLON,';',54,171)
LexToken(WHILE,'while',56,178)
LexToken(LPARENTHESIS,'(',56,184)
LexToken(ID,'contador',56,185)
LexToken(LESS_THAN,'<',56,194)
LexToken(ID,'limite',56,196)
LexToken(RPARENTHESIS,')',56,202)
LexToken(LBRACE,'{',56,204)
LexToken(IF,'if',57,214)
LexToken(LPARENTHESIS,'(',57,217)
LexToken(ID,'contador',57,218)
LexToken(EQUALS,'==',57,227)
LexToken(INT,1,57,230)
LexToken(RPARENTHESIS,')',57,231)
