LexToken(IMPORT,'import',2,56)
LexToken(STRING,'dart:math',2,63)
LexToken(SEMICOLON,';',2,74)
LexToken(VOID,'void',6,173)
LexToken(ID,'main',6,178)
LexToken(LPARENTHESIS,'(',6,182)
LexToken(RPARENTHESIS,')',6,183)
LexToken(LBRACE,'{',6,185)
LexToken(FINAL,'final',7,189)
LexToken(DOUBLE_TYPE,'double',7,195)
LexToken(ID,'threshold',7,202)
LexToken(ASSIGN_OPERATOR,'=',7,212)
LexToken(DOUBLE,30.5,7,214)
LexToken(SEMICOLON,';',7,218)
LexToken(VAR,'var',8,222)
LexToken(ID,'temperatures',8,226)
LexToken(ASSIGN_OPERATOR,'=',8,239)
LexToken(LESS_THAN,'<',8,241)
LexToken(DOUBLE_TYPE,'double',8,242)
LexToken(GREATER_THAN,'>',8,248)
LexToken(LBRACKET,'[',8,249)
LexToken(DOUBLE,28.0,8,250)
LexToken(COMMA,',',8,254)
LexToken(DOUBLE,31.2,8,256)
LexToken(COMMA,',',8,260)
LexToken(DOUBLE,29.5,8,262)
LexToken(COMMA,',',8,266)
LexToken(DOUBLE,32.1,8,268)
LexToken(COMMA,',',8,272)
LexToken(DOUBLE,27.0,8,274)
LexToken(RBRACKET,']',8,278)
LexToken(SEMICOLON,';',8,279)
LexToken(LIST_TYPE,'List',9,283)
LexToken(LESS_THAN,'<',9,287)
LexToken(DOUBLE_TYPE,'double',9,288)
LexToken(GREATER_THAN,'>',9,294)
LexToken(ID,'highTemps',9,296)
LexToken(ASSIGN_OPERATOR,'=',9,306)
LexToken(LBRACKET,'[',9,308)
LexToken(RBRACKET,']',9,309)
LexToken(SEMICOLON,';',9,310)
LexToken(FOR,'for',11,315)
LexToken(LPARENTHESIS,'(',11,319)
LexToken(DOUBLE_TYPE,'double',11,320)
LexToken(ID,'temp',11,327)
LexToken(ID,'in',11,332)
LexToken(ID,'temperatures',11,335)
LexToken(RPARENTHESIS,')',11,347)
LexToken(LBRACE,'{',11,349)
LexToken(IF,'if',12,355)
LexToken(LPARENTHESIS,'(',12,358)
LexToken(ID,'temp',12,359)
LexToken(GREATER_THAN,'>',12,364)
LexToken(ID,'threshold',12,366)
LexToken(RPARENTHESIS,')',12,375)
LexToken(LBRACE,'{',12,377)
LexToken(ID,'highTemps',13,385)
LexToken(DOT,'.',13,394)
LexToken(ID,'add',13,395)
LexToken(LPARENTHESIS,'(',13,398)
LexToken(ID,'temp',13,399)
LexToken(RPARENTHESIS,')',13,403)
LexToken(SEMICOLON,';',13,404)
LexToken(RBRACE,'}',14,410)
LexToken(ELSE,'else',14,412)
LexToken(LBRACE,'{',14,417)
LexToken(CONTINUE,'continue',15,425)
LexToken(SEMICOLON,';',15,433)
LexToken(RBRACE,'}',16,474)
LexToken(RBRACE,'}',17,478)
LexToken(ID,'print',19,483)
LexToken(LPARENTHESIS,'(',19,488)
LexToken(STRING,'Temperaturas altas detectadas:',19,489)
LexToken(RPARENTHESIS,')',19,521)
LexToken(SEMICOLON,';',19,522)
LexToken(FOR,'for',20,526)
LexToken(LPARENTHESIS,'(',20,530)
LexToken(VAR,'var',20,531)
LexToken(ID,'t',20,535)
LexToken(ID,'in',20,537)
LexToken(ID,'highTemps',20,540)
LexToken(RPARENTHESIS,')',20,549)
LexToken(LBRACE,'{',20,551)
LexToken(ID,'print',21,557)
LexToken(LPARENTHESIS,'(',21,562)
LexToken(STRING,'- $t°C',21,563)
LexToken(RPARENTHESIS,')',21,571)
LexToken(SEMICOLON,';',21,572)
LexToken(RBRACE,'}',22,576)
LexToken(FINAL,'final',24,581)
LexToken(MAP_TYPE,'Map',24,587)
LexToken(LESS_THAN,'<',24,590)
LexToken(STRING_TYPE,'String',24,591)
LexToken(COMMA,',',24,597)
LexToken(BOOL_TYPE,'bool',24,599)
LexToken(GREATER_THAN,'>',24,603)
LexToken(ID,'estado',24,605)
LexToken(ASSIGN_OPERATOR,'=',24,612)
LexToken(LBRACE,'{',24,614)
LexToken(STRING,'alerta',25,620)
LexToken(COLON,':',25,628)
LexToken(ID,'highTemps',25,630)
LexToken(DOT,'.',25,639)
LexToken(ID,'length',25,640)
