Error de sintaxis en la línea 3, token: ';'
Error de sintaxis en la línea 4, token: ';'
Error de sintaxis en la línea 7, token: ';'
Error de sintaxis en la línea 9, token: ';'
Error de sintaxis en la línea 10, token: ';'
Error de sintaxis en la línea 11, token: ';'
Error de sintaxis en la línea 12, token: ';'
Error de sintaxis en la línea 19, token: '<'
Error de sintaxis en la línea 23, token: '/'
Error de sintaxis en la línea 25, token: '>='
Error de sintaxis en la línea 27, token: '}'
Error de sintaxis en la línea 27, token: '>='
Error de sintaxis en la línea 29, token: '}'
Error de sintaxis en la línea 29, token: '>='
Error de sintaxis en la línea 31, token: '}'
Error de sintaxis en la línea 33, token: '}'
Error de sintaxis en la línea 36, token: '=='
Error de sintaxis en la línea 38, token: '}'
Error de sintaxis en la línea 43, token: '!='
